Time,GDP HK$ million,GDP Year-on-year Change
2017 Q1,631450,+6.9
2017 Q2,628300,+7.4
2017 Q3,679453,+6.8
2017 Q4,720408,+6.2
2018 Q1,684576,+8.4
2018 Q2,673782,+7.2
2018 Q3,723381,+6.5
2018 Q4,753690,+4.6
2019 Q1,702601,+2.6
2019 Q2,688922,+2.2
2019 Q3,714029,-1.3
2019 Q4,739470,-1.9
2020 Q1,654083,-6.9
2020 Q2,627597,-8.9
2020 Q3,687240,-3.8
2020 Q4,706873,-4.4
2021 Q1,705090,+7.8
2021 Q2,678833,+8.2
2021 Q3,730502,+6.3
2021 Q4,753548,+6.6
2022 Q1,684815,-2.9
2022 Q2,674632,-0.6
2022 Q3,717518,-1.8
2022 Q4,731957,-2.9
2023 Q1,718402,+4.9
2023 Q2,703609,+4.3
2023 Q3,765769,+6.7
2023 Q4,793430,+8.4
2024 Q1,768444,+7.0
2024 Q2,759309,+7.9
2024 Q3,820038,+7.1
2024 Q4,839050,+5.7
2025 Q1,802884,+4.5
2025 Q2,789146,+3.9
2025 Q3,857664,+4.6
2025 Q4,882080,+5.1

Source: https://www.censtatd.gov.hk/en/web_table.html?id=31#