Quarter,Main Contractor,Main Contractor Year-on-year Change
2017 Q1,58752,5.1
2017 Q2,62554,13.0
2017 Q3,60939,0.9
2017 Q4,67674,4.3
2018 Q1,64322,9.5
2018 Q2,62001,-0.9
2018 Q3,60255,-1.1
2018 Q4,65598,-3.1
2019 Q1,55953,-13.0
2019 Q2,56216,-9.3
2019 Q3,59212,-1.7
2019 Q4,65056,-0.8
2020 Q1,55855,-0.2
2020 Q2,53317,-5.2
2020 Q3,57214,-3.4
2020 Q4,63483,-2.4
2021 Q1,56581,1.3
2021 Q2,55061,3.3
2021 Q3,58688,2.6
2021 Q4,63391,-0.1
2022 Q1,58233,2.9
2022 Q2,61473,11.6
2022 Q3,61000,3.9
2022 Q4,68402,7.9
2023 Q1,63221,8.6
2023 Q2,66771,8.6
2023 Q3,69764,14.4
2023 Q4,71147,4.0
2024 Q1,69174,9.4
2024 Q2,68956,3.3
2024 Q3,74544,6.9
2024 Q4,77936,9.5
2025 Q1,70705,2.2
2025 Q2,69543,0.9
2025 Q3,73107,-1.9
2025 Q4,73205,-6.1

Source: https://www.censtatd.gov.hk/en/web_table.html?id=615-66011