Quarter,Avg CPI,Quarterly Inflation Rate (%)
2017 Q1,93.9,0.25
2017 Q2,94.4,0.53
2017 Q3,94.7,0.32
2017 Q4,95.2,0.53
2018 Q1,96.2,1.05
2018 Q2,96.43,0.24
2018 Q3,97.03,0.62
2018 Q4,97.63,0.62
2019 Q1,98.3,0.68
2019 Q2,99.27,0.98
2019 Q3,100.23,0.97
2019 Q4,100.67,0.43
2020 Q1,100.13,-0.53
2020 Q2,100.77,0.63
2020 Q3,98.47,-2.28
2020 Q4,100.1,1.66
2021 Q1,101.33,1.23
2021 Q2,101.57,0.23
2021 Q3,100.7,-0.85
2021 Q4,102.13,1.42
2022 Q1,102.9,0.75
2022 Q2,103.07,0.16
2022 Q3,103.4,0.32
2022 Q4,104.0,0.58
2023 Q1,104.9,0.87
2023 Q2,105.13,0.22
2023 Q3,105.33,0.19
2023 Q4,106.67,1.27
2024 Q1,106.93,0.25
2024 Q2,106.43,-0.47
2024 Q3,107.83,1.32
2024 Q4,108.13,0.28
2025 Q1,108.63,0.46
2025 Q2,108.33,-0.28
2025 Q3,109.0,0.62
2025 Q4,109.53,0.49

Source: https://www.censtatd.gov.hk/en/web_table.html?id=510-60001#