Year,Quarter,Retail,Accommodation services,Food services
2017,Q1,95.7,101.4,106.4
2017,Q2,88.2,94.1,103.5
2017,Q3,89.7,96.9,108.5
2017,Q4,101.9,126.8,113.8
2018,Q1,109.4,112.3,117.1
2018,Q2,99.1,109.6,110.4
2018,Q3,95.6,107.0,114.4
2018,Q4,104.3,135.7,116.4
2019,Q1,108.1,123.3,120.7
2019,Q2,95.0,108.6,109.8
2019,Q3,78.9,86.3,100.9
2019,Q4,81.0,79.9,99.7
2020,Q1,70.2,34.8,82.9
2020,Q2,65.2,32.1,81.3
2020,Q3,65.7,42.4,65.4
2020,Q4,73.7,53.3,74.6
2021,Q1,75.5,40.4,75.6
2021,Q2,71.3,50.8,89.4
2021,Q3,70.6,61.4,94.1
2021,Q4,79.8,72.4,96.2
2022,Q1,69.8,45.9,58.1
2022,Q2,73.2,73.3,84.6
2022,Q3,71.5,74.1,92.3
2022,Q4,80.1,70.5,97.8
2023,Q1,86.6,84.8,105.7
2023,Q2,86.1,106.7,105.2
2023,Q3,81.9,107.5,103.9
2023,Q4,87.9,122.8,105.2
2024,Q1,85.4,116.3,108.1
2024,Q2,75.8,104.3,103.0
2024,Q3,74.0,96.5,102.5
2024,Q4,82.0,127.2,105.7
2025,Q1,79.9,117.2,107.5
2025,Q2,76.0,105.7,103.9
2025,Q3,76.9,99.8,102.3
2025,Q4 p,87.5,135.3,106.7

Source: https://www.censtatd.gov.hk/en/web_table.html?id=660-69001#